,Unnamed: 0,gameTime,label,position,team,visibility,url_local
25096,25096,1 - 36:38,BALL PLAYER BLOCK,2198120,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25136,25136,1 - 37:20,CROSS,2240160,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25217,25217,1 - 38:53,CROSS,2333920,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25220,25220,1 - 38:54,BALL PLAYER BLOCK,2334200,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25255,25255,1 - 39:31,CROSS,2371240,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25407,25407,1 - 42:27,CROSS,2547840,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25408,25408,1 - 42:28,BALL PLAYER BLOCK,2548080,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25424,25424,1 - 42:56,CROSS,2576960,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25450,25450,1 - 43:26,CROSS,2606880,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25474,25474,1 - 44:04,CROSS,2644600,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25619,25619,1 - 46:40,CROSS,2800880,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25864,25864,1 - 50:05,BALL PLAYER BLOCK,3005600,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25865,25865,1 - 50:05,SHOT,3005080,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
25888,25888,1 - 50:33,CROSS,3033800,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26019,26019,1 - 52:57,FREE KICK,3177720,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26123,26123,1 - 55:03,CROSS,3303280,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26124,26124,1 - 55:04,SHOT,3304560,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26278,26278,1 - 57:08,BALL PLAYER BLOCK,3428560,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26311,26311,1 - 58:02,FREE KICK,3482400,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26323,26323,1 - 58:18,BALL PLAYER BLOCK,3498960,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26345,26345,1 - 58:46,CROSS,3526720,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26380,26380,1 - 59:11,SHOT,3551000,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26528,26528,1 - 62:15,PLAYER SUCCESSFUL TACKLE,3735240,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26535,26535,1 - 62:19,SHOT,3739800,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26616,26616,1 - 63:26,SHOT,3806920,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26644,26644,1 - 63:57,BALL PLAYER BLOCK,3837680,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26667,26667,1 - 64:29,CROSS,3869200,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26675,26675,1 - 64:33,SHOT,3873080,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
26865,26865,1 - 67:47,CROSS,4067200,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27023,27023,1 - 70:46,SHOT,4246520,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27133,27133,1 - 72:30,CROSS,4350000,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27197,27197,1 - 73:28,CROSS,4408120,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27199,27199,1 - 73:29,SHOT,4409760,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27200,27200,1 - 73:31,GOAL,4411400,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27266,27266,1 - 74:49,CROSS,4489600,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27592,27592,1 - 80:51,BALL PLAYER BLOCK,4851600,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27656,27656,1 - 81:48,CROSS,4908240,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27657,27657,1 - 81:49,SHOT,4909880,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27804,27804,1 - 84:38,FREE KICK,5078240,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27818,27818,1 - 84:51,CROSS,5091920,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27848,27848,1 - 85:33,BALL PLAYER BLOCK,5133000,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27867,27867,1 - 85:55,CROSS,5155360,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27868,27868,1 - 85:55,BALL PLAYER BLOCK,5155840,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27890,27890,1 - 86:21,SHOT,5181840,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27911,27911,1 - 86:46,SHOT,5206760,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27914,27914,1 - 86:47,BALL PLAYER BLOCK,5207000,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27962,27962,1 - 87:56,FREE KICK,5276480,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
27988,27988,1 - 88:16,SHOT,5296840,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28084,28084,1 - 89:54,PLAYER SUCCESSFUL TACKLE,5394560,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28107,28107,1 - 90:13,BALL PLAYER BLOCK,5413880,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28108,28108,1 - 90:13,CROSS,5413280,home,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28161,28161,1 - 91:14,PLAYER SUCCESSFUL TACKLE,5474680,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28345,28345,1 - 94:19,CROSS,5659360,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28365,28365,1 - 94:47,SHOT,5687160,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28445,28445,1 - 96:21,FREE KICK,5781440,away,visible,england_efl/2019-2020/2019-10-01 - Hull City - Sheffield Wednesday
28509,28509,1 - 00:48,CROSS,48320,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28512,28512,1 - 00:50,BALL PLAYER BLOCK,50040,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28536,28536,1 - 01:21,CROSS,81120,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28537,28537,1 - 01:22,SHOT,82840,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28604,28604,1 - 02:25,PLAYER SUCCESSFUL TACKLE,145600,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28729,28729,1 - 04:19,CROSS,259320,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28732,28732,1 - 04:21,SHOT,261160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28773,28773,1 - 05:04,BALL PLAYER BLOCK,304520,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28834,28834,1 - 06:04,CROSS,364720,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28902,28902,1 - 06:48,PLAYER SUCCESSFUL TACKLE,408960,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
28996,28996,1 - 08:26,BALL PLAYER BLOCK,506400,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29067,29067,1 - 100:02,CROSS,6002920,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29071,29071,1 - 100:08,SHOT,6008680,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29072,29072,1 - 100:09,BALL PLAYER BLOCK,6009680,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29103,29103,1 - 100:41,CROSS,6041160,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29120,29120,1 - 101:00,CROSS,6060960,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29124,29124,1 - 101:03,BALL PLAYER BLOCK,6063080,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29127,29127,1 - 101:05,SHOT,6065640,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29163,29163,1 - 10:14,BALL PLAYER BLOCK,614920,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29271,29271,1 - 11:53,CROSS,713200,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29272,29272,1 - 11:53,BALL PLAYER BLOCK,713720,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29281,29281,1 - 12:01,CROSS,721880,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29284,29284,1 - 12:02,BALL PLAYER BLOCK,722160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29303,29303,1 - 12:30,CROSS,750080,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29353,29353,1 - 13:22,SHOT,802880,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29354,29354,1 - 13:23,BALL PLAYER BLOCK,803320,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29374,29374,1 - 13:41,SHOT,821520,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29399,29399,1 - 14:10,BALL PLAYER BLOCK,850480,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29404,29404,1 - 14:15,BALL PLAYER BLOCK,855480,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29539,29539,1 - 16:43,PLAYER SUCCESSFUL TACKLE,1003080,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29634,29634,1 - 18:00,PLAYER SUCCESSFUL TACKLE,1080880,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29645,29645,1 - 18:09,CROSS,1089040,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29646,29646,1 - 18:09,BALL PLAYER BLOCK,1089440,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29695,29695,1 - 19:01,CROSS,1141120,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29783,29783,1 - 20:19,CROSS,1219000,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29832,29832,1 - 21:19,CROSS,1279880,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29897,29897,1 - 22:17,PLAYER SUCCESSFUL TACKLE,1337280,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29903,29903,1 - 22:25,PLAYER SUCCESSFUL TACKLE,1345640,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
29977,29977,1 - 23:47,BALL PLAYER BLOCK,1427680,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30018,30018,1 - 24:17,PLAYER SUCCESSFUL TACKLE,1457560,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30116,30116,1 - 26:03,BALL PLAYER BLOCK,1563160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30195,30195,1 - 27:19,BALL PLAYER BLOCK,1639440,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30589,30589,1 - 33:57,PLAYER SUCCESSFUL TACKLE,2037600,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30682,30682,1 - 35:18,PLAYER SUCCESSFUL TACKLE,2118880,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30702,30702,1 - 35:43,PLAYER SUCCESSFUL TACKLE,2143160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30720,30720,1 - 36:08,CROSS,2168280,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30721,30721,1 - 36:08,BALL PLAYER BLOCK,2168600,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30749,30749,1 - 36:34,CROSS,2194400,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
30768,30768,1 - 37:03,CROSS,2223240,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31039,31039,1 - 42:27,SHOT,2547600,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31041,31041,1 - 42:28,BALL PLAYER BLOCK,2548080,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31095,31095,1 - 43:12,CROSS,2592240,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31096,31096,1 - 43:13,SHOT,2593760,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31211,31211,1 - 45:26,PLAYER SUCCESSFUL TACKLE,2726760,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31224,31224,1 - 45:46,CROSS,2746520,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31284,31284,1 - 47:00,CROSS,2820400,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31285,31285,1 - 47:00,BALL PLAYER BLOCK,2820760,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31288,31288,1 - 47:02,CROSS,2822720,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31290,31290,1 - 47:03,BALL PLAYER BLOCK,2823280,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31314,31314,1 - 47:25,CROSS,2845760,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31338,31338,1 - 47:59,CROSS,2879720,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31352,31352,1 - 48:11,BALL PLAYER BLOCK,2891520,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31446,31446,1 - 49:48,BALL PLAYER BLOCK,2988880,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31589,31589,1 - 51:58,SHOT,3118560,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31815,31815,1 - 56:15,SHOT,3375000,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
31965,31965,1 - 58:34,CROSS,3514720,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32143,32143,1 - 61:17,PLAYER SUCCESSFUL TACKLE,3677160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32491,32491,1 - 67:19,BALL PLAYER BLOCK,4039800,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32523,32523,1 - 67:54,CROSS,4074360,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32653,32653,1 - 70:08,CROSS,4208920,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32672,32672,1 - 70:20,SHOT,4220960,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32673,32673,1 - 70:21,BALL PLAYER BLOCK,4221400,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32674,32674,1 - 70:22,SHOT,4222160,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32675,32675,1 - 70:22,BALL PLAYER BLOCK,4222680,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32707,32707,1 - 70:47,CROSS,4247960,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32785,32785,1 - 72:07,BALL PLAYER BLOCK,4327880,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32810,32810,1 - 72:26,BALL PLAYER BLOCK,4346760,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32871,32871,1 - 73:44,PLAYER SUCCESSFUL TACKLE,4424160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32879,32879,1 - 73:54,CROSS,4434280,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
32883,32883,1 - 73:55,SHOT,4435320,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33052,33052,1 - 76:44,SHOT,4604520,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33113,33113,1 - 77:51,BALL PLAYER BLOCK,4671560,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33140,33140,1 - 78:19,CROSS,4699400,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33188,33188,1 - 79:02,SHOT,4742080,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33189,33189,1 - 79:02,BALL PLAYER BLOCK,4742360,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33282,33282,1 - 81:22,SHOT,4882320,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33283,33283,1 - 81:23,BALL PLAYER BLOCK,4883160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33318,33318,1 - 81:56,CROSS,4916960,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33342,33342,1 - 82:22,SHOT,4942960,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33452,33452,1 - 84:30,FREE KICK,5070160,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33548,33548,1 - 86:11,SHOT,5171960,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33549,33549,1 - 86:12,GOAL,5172640,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33610,33610,1 - 87:43,CROSS,5263920,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33653,33653,1 - 88:47,BALL PLAYER BLOCK,5327440,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33688,33688,1 - 89:30,CROSS,5370280,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33696,33696,1 - 89:35,BALL PLAYER BLOCK,5375280,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33697,33697,1 - 89:35,SHOT,5375000,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33741,33741,1 - 90:28,PLAYER SUCCESSFUL TACKLE,5428680,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33823,33823,1 - 91:45,CROSS,5505080,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33841,33841,1 - 91:56,CROSS,5516120,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33847,33847,1 - 92:03,BALL PLAYER BLOCK,5523800,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33848,33848,1 - 92:03,SHOT,5523200,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33963,33963,1 - 93:49,CROSS,5629600,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
33967,33967,1 - 93:52,SHOT,5632000,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
34074,34074,1 - 95:25,CROSS,5725000,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
34183,34183,1 - 98:02,BALL PLAYER BLOCK,5882560,home,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
34222,34222,1 - 98:43,BALL PLAYER BLOCK,5923640,away,visible,england_efl/2019-2020/2019-10-01 - Stoke City - Huddersfield Town
34417,34417,1 - 01:30,SHOT,90120,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34489,34489,1 - 02:41,SHOT,161560,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34490,34490,1 - 02:41,BALL PLAYER BLOCK,161960,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34540,34540,1 - 03:27,PLAYER SUCCESSFUL TACKLE,207200,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34547,34547,1 - 03:32,PLAYER SUCCESSFUL TACKLE,212120,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34687,34687,1 - 06:14,BALL PLAYER BLOCK,374920,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34688,34688,1 - 06:14,SHOT,374320,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34824,34824,1 - 07:54,PLAYER SUCCESSFUL TACKLE,474560,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34827,34827,1 - 07:57,SHOT,477760,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34828,34828,1 - 07:58,BALL PLAYER BLOCK,478080,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34853,34853,1 - 08:37,CROSS,517440,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34860,34860,1 - 08:43,SHOT,523200,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34861,34861,1 - 08:43,BALL PLAYER BLOCK,523400,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34932,34932,1 - 09:29,BALL PLAYER BLOCK,569800,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34933,34933,1 - 09:29,CROSS,569080,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
34975,34975,1 - 09:57,CROSS,597680,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35007,35007,1 - 10:28,PLAYER SUCCESSFUL TACKLE,628360,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35131,35131,1 - 12:15,SHOT,735640,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35132,35132,1 - 12:17,GOAL,737160,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35226,35226,1 - 14:21,BALL PLAYER BLOCK,861800,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35326,35326,1 - 15:48,BALL PLAYER BLOCK,948800,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35338,35338,1 - 15:57,CROSS,957280,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35339,35339,1 - 15:57,BALL PLAYER BLOCK,957840,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35362,35362,1 - 16:30,CROSS,990240,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35368,35368,1 - 16:37,CROSS,997920,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35509,35509,1 - 18:56,PLAYER SUCCESSFUL TACKLE,1136920,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35626,35626,1 - 21:09,CROSS,1269640,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35787,35787,1 - 23:43,CROSS,1423160,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35916,35916,1 - 25:38,CROSS,1538200,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35917,35917,1 - 25:39,SHOT,1539640,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35920,35920,1 - 25:40,GOAL,1540520,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
35998,35998,1 - 27:15,SHOT,1635880,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36059,36059,1 - 28:00,BALL PLAYER BLOCK,1680800,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36090,36090,1 - 28:25,BALL PLAYER BLOCK,1705600,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36094,36094,1 - 28:27,CROSS,1707400,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36095,36095,1 - 28:28,SHOT,1708240,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36098,36098,1 - 28:29,GOAL,1709240,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36351,36351,1 - 32:14,BALL PLAYER BLOCK,1934720,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36618,36618,1 - 35:57,CROSS,2157160,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36732,36732,1 - 37:55,PLAYER SUCCESSFUL TACKLE,2275040,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36735,36735,1 - 37:56,PLAYER SUCCESSFUL TACKLE,2276840,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36738,36738,1 - 38:00,CROSS,2280800,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36740,36740,1 - 38:01,BALL PLAYER BLOCK,2281200,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36750,36750,1 - 38:10,PLAYER SUCCESSFUL TACKLE,2290160,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36923,36923,1 - 40:36,BALL PLAYER BLOCK,2436360,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
36976,36976,1 - 41:15,CROSS,2475120,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37063,37063,1 - 42:19,BALL PLAYER BLOCK,2539360,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37064,37064,1 - 42:19,CROSS,2539120,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37080,37080,1 - 42:35,SHOT,2555920,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37083,37083,1 - 42:36,BALL PLAYER BLOCK,2556240,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37183,37183,1 - 43:54,SHOT,2634960,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37185,37185,1 - 43:55,BALL PLAYER BLOCK,2635120,home,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
37194,37194,1 - 44:11,CROSS,2651640,away,visible,england_efl/2019-2020/2019-10-01 - Reading - Fulham
